order_item_id,order_id,product_id,quantity,unit_price,item_options
5051,1029,136,5,11400,"{""gift_wrap"":false,""grind"":""fine""}"
5052,1030,119,1,1800,"{""gift_wrap"":false,""color"":""white""}"
5053,1031,142,4,6300,"{""gift_wrap"":true}"
5054,1031,117,3,9100,"{""gift_wrap"":false,""switch"":""red""}"
5055,1032,140,5,1700,"{""gift_wrap"":true,""color"":""gray""}"
5056,1033,115,1,2300,"{""gift_wrap"":false,""grind"":""beans""}"
5057,1033,141,2,4200,"{""gift_wrap"":true}"
5058,1033,104,2,32800,"{""gift_wrap"":false,""grind"":""fine""}"
5059,1034,149,3,10800,"{""gift_wrap"":false,""color"":""black""}"
5060,1035,115,1,2300,"{""gift_wrap"":false,""length_m"":1.5}"
5061,1035,135,2,7700,"{""gift_wrap"":false,""color"":""white""}"
5062,1035,148,4,4300,"{""gift_wrap"":true,""switch"":""red""}"
5063,1036,120,5,15300,"{""gift_wrap"":false,""switch"":""brown""}"
5064,1037,142,5,6300,"{""gift_wrap"":false,""length_m"":2.0}"
5065,1037,135,4,7700,"{""gift_wrap"":false,""color"":""white""}"
5066,1038,147,4,15700,"{""gift_wrap"":false,""length_m"":1.0}"
5067,1039,151,5,1100,"{""gift_wrap"":false,""length_m"":1.0}"
5068,1039,119,5,1800,"{""gift_wrap"":false,""grind"":""fine""}"
5069,1040,121,1,5500,"{""gift_wrap"":true,""length_m"":1.5}"
5070,1040,106,3,1500,"{""gift_wrap"":false,""color"":""white""}"
5071,1040,126,4,2900,"{""gift_wrap"":true,""switch"":""brown""}"
5072,1041,138,5,32600,"{""gift_wrap"":true,""switch"":""blue""}"
5073,1041,147,2,15700,"{""gift_wrap"":true,""color"":""white""}"
5074,1042,111,5,13100,"{""gift_wrap"":false,""switch"":""blue""}"
5075,1042,126,1,2900,"{""gift_wrap"":false,""switch"":""brown""}"
5076,1043,115,2,2300,"{""gift_wrap"":false}"
5077,1043,109,3,32900,"{""gift_wrap"":false}"
5078,1043,131,4,27900,"{""gift_wrap"":false,""length_m"":1.0}"
5079,1044,156,5,25600,"{""gift_wrap"":false,""switch"":""red""}"
5080,1044,151,5,1100,"{""gift_wrap"":true}"
5081,1044,106,5,1500,"{""gift_wrap"":true}"
5082,1045,111,3,13100,"{""gift_wrap"":false,""grind"":""beans""}"
5083,1046,146,5,3900,"{""gift_wrap"":false}"
5084,1047,152,4,2700,"{""gift_wrap"":true,""grind"":""fine""}"
5085,1047,104,5,32800,"{""gift_wrap"":true,""grind"":""medium""}"
5086,1048,147,4,15700,"{""gift_wrap"":false,""color"":""gray""}"
5087,1048,102,2,12800,"{""gift_wrap"":false,""color"":""white""}"
5088,1049,145,5,18500,"{""gift_wrap"":false,""color"":""white""}"
5089,1049,105,1,19800,"{""gift_wrap"":false,""length_m"":1.0}"
5090,1050,124,4,4900,"{""gift_wrap"":false,""grind"":""fine""}"
5091,1050,158,1,1500,"{""gift_wrap"":false}"
5092,1051,142,3,6300,"{""gift_wrap"":true}"
5093,1052,134,2,2500,"{""gift_wrap"":false,""color"":""white""}"
5094,1052,109,4,32900,"{""gift_wrap"":false}"
5095,1053,135,2,7700,"{""gift_wrap"":true,""switch"":""red""}"
5096,1053,125,3,2800,"{""gift_wrap"":true,""color"":""black""}"
5097,1054,140,1,1700,"{""gift_wrap"":true,""color"":""black""}"
5098,1054,150,5,2900,"{""gift_wrap"":true}"
5099,1055,116,1,1800,"{""gift_wrap"":false,""length_m"":2.0}"
5100,1056,149,1,10800,"{""gift_wrap"":true,""switch"":""red""}"
5101,1057,121,3,5500,"{""gift_wrap"":true,""length_m"":2.0}"
5102,1057,137,5,18500,"{""gift_wrap"":true,""switch"":""brown""}"
5103,1057,139,1,24800,"{""gift_wrap"":false}"
5104,1058,141,4,4200,"{""gift_wrap"":false,""color"":""white""}"
5105,1059,151,3,1100,"{""gift_wrap"":false,""grind"":""beans""}"
5106,1059,134,3,2500,"{""gift_wrap"":false}"
5107,1060,116,2,1800,"{""gift_wrap"":false,""length_m"":1.5}"
5108,1060,155,1,4100,"{""gift_wrap"":false,""grind"":""medium""}"
